time,TT_mean,Scenario
4:00:00,41.78496635,ARM On: Mar-Apr 2023
4:05:00,41.8111138,ARM On: Mar-Apr 2023
4:10:00,41.78170255,ARM On: Mar-Apr 2023
4:15:00,41.52028707,ARM On: Mar-Apr 2023
4:20:00,41.29493342,ARM On: Mar-Apr 2023
4:25:00,41.39960322,ARM On: Mar-Apr 2023
4:30:00,41.43669326,ARM On: Mar-Apr 2023
4:35:00,41.11911332,ARM On: Mar-Apr 2023
4:40:00,40.98508505,ARM On: Mar-Apr 2023
4:45:00,40.93697722,ARM On: Mar-Apr 2023
4:50:00,41.00194868,ARM On: Mar-Apr 2023
4:55:00,40.92143205,ARM On: Mar-Apr 2023
5:00:00,41.00559145,ARM On: Mar-Apr 2023
5:05:00,40.93939614,ARM On: Mar-Apr 2023
5:10:00,40.8097513,ARM On: Mar-Apr 2023
5:15:00,40.75152329,ARM On: Mar-Apr 2023
5:20:00,40.69310719,ARM On: Mar-Apr 2023
5:25:00,40.81113095,ARM On: Mar-Apr 2023
5:30:00,40.93913884,ARM On: Mar-Apr 2023
5:35:00,41.17558962,ARM On: Mar-Apr 2023
5:40:00,41.23169266,ARM On: Mar-Apr 2023
5:45:00,41.3951324,ARM On: Mar-Apr 2023
5:50:00,41.54162732,ARM On: Mar-Apr 2023
5:55:00,41.69145505,ARM On: Mar-Apr 2023
6:00:00,41.90526873,ARM On: Mar-Apr 2023
6:05:00,42.19476558,ARM On: Mar-Apr 2023
6:10:00,42.76517354,ARM On: Mar-Apr 2023
6:15:00,43.19190307,ARM On: Mar-Apr 2023
6:20:00,43.37667512,ARM On: Mar-Apr 2023
6:25:00,43.74387732,ARM On: Mar-Apr 2023
6:30:00,44.20166687,ARM On: Mar-Apr 2023
6:35:00,44.65665498,ARM On: Mar-Apr 2023
6:40:00,45.22788909,ARM On: Mar-Apr 2023
6:45:00,45.74893154,ARM On: Mar-Apr 2023
6:50:00,45.69759541,ARM On: Mar-Apr 2023
6:55:00,45.40733815,ARM On: Mar-Apr 2023
7:00:00,45.46637954,ARM On: Mar-Apr 2023
7:05:00,45.3452838,ARM On: Mar-Apr 2023
7:10:00,45.51451101,ARM On: Mar-Apr 2023
7:15:00,46.06054066,ARM On: Mar-Apr 2023
7:20:00,46.73926059,ARM On: Mar-Apr 2023
7:25:00,47.94692751,ARM On: Mar-Apr 2023
7:30:00,49.41476035,ARM On: Mar-Apr 2023
7:35:00,51.13289069,ARM On: Mar-Apr 2023
7:40:00,53.45653699,ARM On: Mar-Apr 2023
7:45:00,55.75623937,ARM On: Mar-Apr 2023
7:50:00,57.00154915,ARM On: Mar-Apr 2023
7:55:00,57.50569844,ARM On: Mar-Apr 2023
8:00:00,57.49786903,ARM On: Mar-Apr 2023
8:05:00,58.1874463,ARM On: Mar-Apr 2023
8:10:00,58.70814914,ARM On: Mar-Apr 2023
8:15:00,58.84038499,ARM On: Mar-Apr 2023
8:20:00,58.94608035,ARM On: Mar-Apr 2023
8:25:00,58.65070244,ARM On: Mar-Apr 2023
8:30:00,58.56769875,ARM On: Mar-Apr 2023
8:35:00,58.3003669,ARM On: Mar-Apr 2023
8:40:00,57.68886789,ARM On: Mar-Apr 2023
8:45:00,57.3025404,ARM On: Mar-Apr 2023
8:50:00,56.76354119,ARM On: Mar-Apr 2023
8:55:00,56.27988139,ARM On: Mar-Apr 2023
9:00:00,55.04476321,ARM On: Mar-Apr 2023
9:05:00,53.53399226,ARM On: Mar-Apr 2023
9:10:00,52.45252896,ARM On: Mar-Apr 2023
9:15:00,51.16937792,ARM On: Mar-Apr 2023
9:20:00,50.01272302,ARM On: Mar-Apr 2023
9:25:00,49.34739743,ARM On: Mar-Apr 2023
9:30:00,48.57710529,ARM On: Mar-Apr 2023
9:35:00,48.17075504,ARM On: Mar-Apr 2023
9:40:00,47.76510838,ARM On: Mar-Apr 2023
9:45:00,47.40330711,ARM On: Mar-Apr 2023
9:50:00,46.84599058,ARM On: Mar-Apr 2023
9:55:00,46.3946966,ARM On: Mar-Apr 2023
10:00:00,46.25701245,ARM On: Mar-Apr 2023
10:05:00,46.00474445,ARM On: Mar-Apr 2023
10:10:00,45.84487773,ARM On: Mar-Apr 2023
10:15:00,45.79603374,ARM On: Mar-Apr 2023
10:20:00,45.61333358,ARM On: Mar-Apr 2023
10:25:00,45.54691437,ARM On: Mar-Apr 2023
10:30:00,45.73814038,ARM On: Mar-Apr 2023
10:35:00,45.65765991,ARM On: Mar-Apr 2023
10:40:00,45.73645202,ARM On: Mar-Apr 2023
10:45:00,45.89632918,ARM On: Mar-Apr 2023
10:50:00,45.87811509,ARM On: Mar-Apr 2023
10:55:00,45.51090611,ARM On: Mar-Apr 2023
11:00:00,45.7107583,ARM On: Mar-Apr 2023
11:05:00,45.76693392,ARM On: Mar-Apr 2023
11:10:00,45.94735729,ARM On: Mar-Apr 2023
11:15:00,46.11204813,ARM On: Mar-Apr 2023
11:20:00,46.29910908,ARM On: Mar-Apr 2023
11:25:00,46.04311155,ARM On: Mar-Apr 2023
11:30:00,46.00566043,ARM On: Mar-Apr 2023
11:35:00,45.88867293,ARM On: Mar-Apr 2023
11:40:00,45.83279649,ARM On: Mar-Apr 2023
11:45:00,45.88710059,ARM On: Mar-Apr 2023
11:50:00,45.82592899,ARM On: Mar-Apr 2023
11:55:00,45.72732555,ARM On: Mar-Apr 2023
12:00:00,45.63146105,ARM On: Mar-Apr 2023
12:05:00,45.69258994,ARM On: Mar-Apr 2023
12:10:00,46.08505798,ARM On: Mar-Apr 2023
12:15:00,46.39858523,ARM On: Mar-Apr 2023
12:20:00,46.27732064,ARM On: Mar-Apr 2023
12:25:00,46.59487147,ARM On: Mar-Apr 2023
12:30:00,46.68678061,ARM On: Mar-Apr 2023
12:35:00,46.90456553,ARM On: Mar-Apr 2023
12:40:00,47.29983223,ARM On: Mar-Apr 2023
12:45:00,47.63604431,ARM On: Mar-Apr 2023
12:50:00,47.65885776,ARM On: Mar-Apr 2023
12:55:00,47.68746344,ARM On: Mar-Apr 2023
13:00:00,47.74144603,ARM On: Mar-Apr 2023
13:05:00,47.74692254,ARM On: Mar-Apr 2023
13:10:00,48.00266194,ARM On: Mar-Apr 2023
13:15:00,48.269356,ARM On: Mar-Apr 2023
13:20:00,48.31579992,ARM On: Mar-Apr 2023
13:25:00,48.49039963,ARM On: Mar-Apr 2023
13:30:00,48.7968519,ARM On: Mar-Apr 2023
13:35:00,49.41223163,ARM On: Mar-Apr 2023
13:40:00,50.02195281,ARM On: Mar-Apr 2023
13:45:00,50.74876568,ARM On: Mar-Apr 2023
13:50:00,51.37072589,ARM On: Mar-Apr 2023
13:55:00,51.23035895,ARM On: Mar-Apr 2023
14:00:00,51.82698257,ARM On: Mar-Apr 2023
14:05:00,52.19823549,ARM On: Mar-Apr 2023
14:10:00,53.22063572,ARM On: Mar-Apr 2023
14:15:00,54.32792144,ARM On: Mar-Apr 2023
14:20:00,55.04009416,ARM On: Mar-Apr 2023
14:25:00,55.7647443,ARM On: Mar-Apr 2023
14:30:00,56.84577903,ARM On: Mar-Apr 2023
14:35:00,57.41952576,ARM On: Mar-Apr 2023
14:40:00,59.21390935,ARM On: Mar-Apr 2023
14:45:00,61.71779258,ARM On: Mar-Apr 2023
14:50:00,62.92618838,ARM On: Mar-Apr 2023
14:55:00,63.19378431,ARM On: Mar-Apr 2023
15:00:00,63.49667529,ARM On: Mar-Apr 2023
15:05:00,63.18351272,ARM On: Mar-Apr 2023
15:10:00,63.55833153,ARM On: Mar-Apr 2023
15:15:00,64.19068078,ARM On: Mar-Apr 2023
15:20:00,64.25574609,ARM On: Mar-Apr 2023
15:25:00,64.4135087,ARM On: Mar-Apr 2023
15:30:00,64.46577511,ARM On: Mar-Apr 2023
15:35:00,65.24126188,ARM On: Mar-Apr 2023
15:40:00,66.55427234,ARM On: Mar-Apr 2023
15:45:00,68.51309902,ARM On: Mar-Apr 2023
15:50:00,70.11851874,ARM On: Mar-Apr 2023
15:55:00,69.46247642,ARM On: Mar-Apr 2023
16:00:00,69.63993137,ARM On: Mar-Apr 2023
16:05:00,69.11500044,ARM On: Mar-Apr 2023
16:10:00,69.20041195,ARM On: Mar-Apr 2023
16:15:00,69.79666369,ARM On: Mar-Apr 2023
16:20:00,70.72957382,ARM On: Mar-Apr 2023
16:25:00,70.97136923,ARM On: Mar-Apr 2023
16:30:00,70.32042205,ARM On: Mar-Apr 2023
16:35:00,70.38993452,ARM On: Mar-Apr 2023
16:40:00,71.38934096,ARM On: Mar-Apr 2023
16:45:00,73.26639747,ARM On: Mar-Apr 2023
16:50:00,75.1062812,ARM On: Mar-Apr 2023
16:55:00,74.28181362,ARM On: Mar-Apr 2023
17:00:00,73.60383234,ARM On: Mar-Apr 2023
17:05:00,73.5641134,ARM On: Mar-Apr 2023
17:10:00,73.61970645,ARM On: Mar-Apr 2023
17:15:00,76.16546442,ARM On: Mar-Apr 2023
17:20:00,77.42412331,ARM On: Mar-Apr 2023
17:25:00,77.22142403,ARM On: Mar-Apr 2023
17:30:00,75.13492356,ARM On: Mar-Apr 2023
17:35:00,73.62036248,ARM On: Mar-Apr 2023
17:40:00,72.73040954,ARM On: Mar-Apr 2023
17:45:00,70.69591268,ARM On: Mar-Apr 2023
17:50:00,68.31197442,ARM On: Mar-Apr 2023
17:55:00,67.06718235,ARM On: Mar-Apr 2023
18:00:00,65.19457841,ARM On: Mar-Apr 2023
18:05:00,62.75399989,ARM On: Mar-Apr 2023
18:10:00,61.12535624,ARM On: Mar-Apr 2023
18:15:00,59.29103215,ARM On: Mar-Apr 2023
18:20:00,58.28168541,ARM On: Mar-Apr 2023
18:25:00,57.79808473,ARM On: Mar-Apr 2023
18:30:00,55.97641934,ARM On: Mar-Apr 2023
18:35:00,55.37281631,ARM On: Mar-Apr 2023
18:40:00,54.34892688,ARM On: Mar-Apr 2023
18:45:00,53.19328687,ARM On: Mar-Apr 2023
18:50:00,52.70876611,ARM On: Mar-Apr 2023
18:55:00,51.14139608,ARM On: Mar-Apr 2023
19:00:00,49.94951899,ARM On: Mar-Apr 2023
19:05:00,49.19566688,ARM On: Mar-Apr 2023
19:10:00,48.50457147,ARM On: Mar-Apr 2023
19:15:00,47.90468568,ARM On: Mar-Apr 2023
19:20:00,47.63707032,ARM On: Mar-Apr 2023
19:25:00,47.26966667,ARM On: Mar-Apr 2023
19:30:00,46.67238664,ARM On: Mar-Apr 2023
19:35:00,45.94821808,ARM On: Mar-Apr 2023
19:40:00,45.59641436,ARM On: Mar-Apr 2023
19:45:00,45.26853474,ARM On: Mar-Apr 2023
19:50:00,44.91201719,ARM On: Mar-Apr 2023
19:55:00,44.52719282,ARM On: Mar-Apr 2023
20:00:00,44.1363931,ARM On: Mar-Apr 2023
20:05:00,43.63348382,ARM On: Mar-Apr 2023
20:10:00,43.49877803,ARM On: Mar-Apr 2023
20:15:00,43.40926619,ARM On: Mar-Apr 2023
20:20:00,43.30282269,ARM On: Mar-Apr 2023
20:25:00,43.13836763,ARM On: Mar-Apr 2023
20:30:00,42.94019481,ARM On: Mar-Apr 2023
20:35:00,42.87756803,ARM On: Mar-Apr 2023
20:40:00,42.73597594,ARM On: Mar-Apr 2023
20:45:00,42.73803423,ARM On: Mar-Apr 2023
20:50:00,42.5933696,ARM On: Mar-Apr 2023
20:55:00,42.58444536,ARM On: Mar-Apr 2023
21:00:00,42.51755403,ARM On: Mar-Apr 2023
4:00:00,41.51631336,ARM On: May 2023
4:05:00,41.70286519,ARM On: May 2023
4:10:00,41.72785899,ARM On: May 2023
4:15:00,41.72358181,ARM On: May 2023
4:20:00,41.59708839,ARM On: May 2023
4:25:00,41.44050838,ARM On: May 2023
4:30:00,41.16618807,ARM On: May 2023
4:35:00,40.81285685,ARM On: May 2023
4:40:00,40.6783782,ARM On: May 2023
4:45:00,40.58758547,ARM On: May 2023
4:50:00,40.5461372,ARM On: May 2023
4:55:00,40.49452642,ARM On: May 2023
5:00:00,40.59982522,ARM On: May 2023
5:05:00,40.79510865,ARM On: May 2023
5:10:00,40.70584929,ARM On: May 2023
5:15:00,40.76265017,ARM On: May 2023
5:20:00,40.81394184,ARM On: May 2023
5:25:00,40.88022219,ARM On: May 2023
5:30:00,41.13982279,ARM On: May 2023
5:35:00,41.14243956,ARM On: May 2023
5:40:00,41.28934382,ARM On: May 2023
5:45:00,41.58758712,ARM On: May 2023
5:50:00,41.5865705,ARM On: May 2023
5:55:00,41.43885675,ARM On: May 2023
6:00:00,41.59318309,ARM On: May 2023
6:05:00,41.95942741,ARM On: May 2023
6:10:00,42.1239555,ARM On: May 2023
6:15:00,42.36311382,ARM On: May 2023
6:20:00,42.76609865,ARM On: May 2023
6:25:00,43.13280829,ARM On: May 2023
6:30:00,43.54223442,ARM On: May 2023
6:35:00,43.97020838,ARM On: May 2023
6:40:00,44.48657832,ARM On: May 2023
6:45:00,45.0025438,ARM On: May 2023
6:50:00,45.25373469,ARM On: May 2023
6:55:00,44.93625406,ARM On: May 2023
7:00:00,44.8344671,ARM On: May 2023
7:05:00,44.84653931,ARM On: May 2023
7:10:00,45.06502721,ARM On: May 2023
7:15:00,45.55313106,ARM On: May 2023
7:20:00,46.18174167,ARM On: May 2023
7:25:00,47.21061452,ARM On: May 2023
7:30:00,48.37763466,ARM On: May 2023
7:35:00,50.27834351,ARM On: May 2023
7:40:00,52.3659759,ARM On: May 2023
7:45:00,54.27889443,ARM On: May 2023
7:50:00,56.13142211,ARM On: May 2023
7:55:00,56.97905082,ARM On: May 2023
8:00:00,57.02101874,ARM On: May 2023
8:05:00,57.57972011,ARM On: May 2023
8:10:00,58.37772294,ARM On: May 2023
8:15:00,59.36123542,ARM On: May 2023
8:20:00,59.64449317,ARM On: May 2023
8:25:00,59.0221762,ARM On: May 2023
8:30:00,59.03822151,ARM On: May 2023
8:35:00,59.33725345,ARM On: May 2023
8:40:00,59.72615636,ARM On: May 2023
8:45:00,59.3631935,ARM On: May 2023
8:50:00,58.7073967,ARM On: May 2023
8:55:00,56.97657324,ARM On: May 2023
9:00:00,54.82965789,ARM On: May 2023
9:05:00,52.81899734,ARM On: May 2023
9:10:00,51.30877578,ARM On: May 2023
9:15:00,50.31088903,ARM On: May 2023
9:20:00,49.32448752,ARM On: May 2023
9:25:00,48.71914145,ARM On: May 2023
9:30:00,47.89251605,ARM On: May 2023
9:35:00,47.23500262,ARM On: May 2023
9:40:00,46.96570256,ARM On: May 2023
9:45:00,46.76343909,ARM On: May 2023
9:50:00,46.75138816,ARM On: May 2023
9:55:00,46.61449773,ARM On: May 2023
10:00:00,46.14962167,ARM On: May 2023
10:05:00,45.81480141,ARM On: May 2023
10:10:00,45.942647,ARM On: May 2023
10:15:00,46.00128968,ARM On: May 2023
10:20:00,45.94419873,ARM On: May 2023
10:25:00,45.90385538,ARM On: May 2023
10:30:00,45.60171011,ARM On: May 2023
10:35:00,45.75842856,ARM On: May 2023
10:40:00,45.57479559,ARM On: May 2023
10:45:00,45.49887471,ARM On: May 2023
10:50:00,45.34359153,ARM On: May 2023
10:55:00,45.31519051,ARM On: May 2023
11:00:00,45.47556288,ARM On: May 2023
11:05:00,45.42164712,ARM On: May 2023
11:10:00,45.40497137,ARM On: May 2023
11:15:00,45.59301436,ARM On: May 2023
11:20:00,45.55176439,ARM On: May 2023
11:25:00,45.68722996,ARM On: May 2023
11:30:00,45.66932041,ARM On: May 2023
11:35:00,45.95619519,ARM On: May 2023
11:40:00,45.84802041,ARM On: May 2023
11:45:00,45.94315754,ARM On: May 2023
11:50:00,45.8374578,ARM On: May 2023
11:55:00,45.77632202,ARM On: May 2023
12:00:00,45.63026169,ARM On: May 2023
12:05:00,45.58482611,ARM On: May 2023
12:10:00,45.74921517,ARM On: May 2023
12:15:00,45.65275949,ARM On: May 2023
12:20:00,45.8050726,ARM On: May 2023
12:25:00,45.87234189,ARM On: May 2023
12:30:00,46.11611546,ARM On: May 2023
12:35:00,46.30779684,ARM On: May 2023
12:40:00,46.5991732,ARM On: May 2023
12:45:00,47.25845302,ARM On: May 2023
12:50:00,47.52185971,ARM On: May 2023
12:55:00,47.66653907,ARM On: May 2023
13:00:00,47.58876089,ARM On: May 2023
13:05:00,47.27872946,ARM On: May 2023
13:10:00,47.56752134,ARM On: May 2023
13:15:00,48.1770775,ARM On: May 2023
13:20:00,48.89457611,ARM On: May 2023
13:25:00,48.67437119,ARM On: May 2023
13:30:00,48.60129234,ARM On: May 2023
13:35:00,48.97917424,ARM On: May 2023
13:40:00,49.47146204,ARM On: May 2023
13:45:00,50.27435281,ARM On: May 2023
13:50:00,50.98888144,ARM On: May 2023
13:55:00,51.23002536,ARM On: May 2023
14:00:00,51.6639446,ARM On: May 2023
14:05:00,51.86815217,ARM On: May 2023
14:10:00,52.28349498,ARM On: May 2023
14:15:00,53.46134138,ARM On: May 2023
14:20:00,54.92424799,ARM On: May 2023
14:25:00,55.93669774,ARM On: May 2023
14:30:00,57.0761326,ARM On: May 2023
14:35:00,58.41637581,ARM On: May 2023
14:40:00,60.20333932,ARM On: May 2023
14:45:00,62.78382221,ARM On: May 2023
14:50:00,63.97708979,ARM On: May 2023
14:55:00,63.94099092,ARM On: May 2023
15:00:00,63.64997881,ARM On: May 2023
15:05:00,64.66209148,ARM On: May 2023
15:10:00,65.13182713,ARM On: May 2023
15:15:00,66.2228913,ARM On: May 2023
15:20:00,66.59408116,ARM On: May 2023
15:25:00,67.18059948,ARM On: May 2023
15:30:00,67.79322054,ARM On: May 2023
15:35:00,68.20054651,ARM On: May 2023
15:40:00,69.40376393,ARM On: May 2023
