time,TT_mean,Scenario
4:00:00,40.98472116,ARM On: Mar-Apr 2023
4:05:00,40.87353813,ARM On: Mar-Apr 2023
4:10:00,40.83411257,ARM On: Mar-Apr 2023
4:15:00,40.71431156,ARM On: Mar-Apr 2023
4:20:00,40.5999353,ARM On: Mar-Apr 2023
4:25:00,40.61627534,ARM On: Mar-Apr 2023
4:30:00,40.49649968,ARM On: Mar-Apr 2023
4:35:00,40.37763043,ARM On: Mar-Apr 2023
4:40:00,40.26923544,ARM On: Mar-Apr 2023
4:45:00,40.20244012,ARM On: Mar-Apr 2023
4:50:00,40.36070772,ARM On: Mar-Apr 2023
4:55:00,40.47826848,ARM On: Mar-Apr 2023
5:00:00,40.69370741,ARM On: Mar-Apr 2023
5:05:00,40.87627698,ARM On: Mar-Apr 2023
5:10:00,41.07806695,ARM On: Mar-Apr 2023
5:15:00,41.28462292,ARM On: Mar-Apr 2023
5:20:00,41.68891471,ARM On: Mar-Apr 2023
5:25:00,42.3854075,ARM On: Mar-Apr 2023
5:30:00,43.22017648,ARM On: Mar-Apr 2023
5:35:00,43.98369845,ARM On: Mar-Apr 2023
5:40:00,44.7965073,ARM On: Mar-Apr 2023
5:45:00,45.3513579,ARM On: Mar-Apr 2023
5:50:00,45.10948068,ARM On: Mar-Apr 2023
5:55:00,44.79861542,ARM On: Mar-Apr 2023
6:00:00,45.03776037,ARM On: Mar-Apr 2023
6:05:00,45.44066435,ARM On: Mar-Apr 2023
6:10:00,46.01868801,ARM On: Mar-Apr 2023
6:15:00,47.32706067,ARM On: Mar-Apr 2023
6:20:00,48.28619411,ARM On: Mar-Apr 2023
6:25:00,49.05682926,ARM On: Mar-Apr 2023
6:30:00,50.0935031,ARM On: Mar-Apr 2023
6:35:00,50.92280977,ARM On: Mar-Apr 2023
6:40:00,51.8571216,ARM On: Mar-Apr 2023
6:45:00,52.77770679,ARM On: Mar-Apr 2023
6:50:00,52.82533017,ARM On: Mar-Apr 2023
6:55:00,53.01777952,ARM On: Mar-Apr 2023
7:00:00,54.10849546,ARM On: Mar-Apr 2023
7:05:00,54.86165307,ARM On: Mar-Apr 2023
7:10:00,55.84049886,ARM On: Mar-Apr 2023
7:15:00,57.41168729,ARM On: Mar-Apr 2023
7:20:00,58.78518462,ARM On: Mar-Apr 2023
7:25:00,60.08643158,ARM On: Mar-Apr 2023
7:30:00,61.39522837,ARM On: Mar-Apr 2023
7:35:00,63.30279628,ARM On: Mar-Apr 2023
7:40:00,65.26643142,ARM On: Mar-Apr 2023
7:45:00,66.75023372,ARM On: Mar-Apr 2023
7:50:00,67.44577403,ARM On: Mar-Apr 2023
7:55:00,66.87323299,ARM On: Mar-Apr 2023
8:00:00,66.06901694,ARM On: Mar-Apr 2023
8:05:00,65.45372218,ARM On: Mar-Apr 2023
8:10:00,65.75442238,ARM On: Mar-Apr 2023
8:15:00,65.26894396,ARM On: Mar-Apr 2023
8:20:00,65.70643532,ARM On: Mar-Apr 2023
8:25:00,66.21704249,ARM On: Mar-Apr 2023
8:30:00,66.20429911,ARM On: Mar-Apr 2023
8:35:00,66.37326975,ARM On: Mar-Apr 2023
